username;crash_id;position;current_lap;time;session_id;collision_obj_id
manelmm3;1;301.8, 1.0, 408.4;1;29/11/2019 20:18:11;1;15
manelmm3;2;429.0, 1.0, 306.1;5;29/11/2019 20:19:35;1;4
manelmm3;3;226.5, 1.0, 387.5;1;29/11/2019 20:20:31;2;12
manelmm3;4;288.2, 1.0, 398.4;13;29/11/2019 20:26:04;2;14
manelmm3;5;429.0, 1.0, 306.1;18;29/11/2019 20:27:58;2;4
manelmm3;6;273.3, 1.0, 393.3;26;29/11/2019 20:31:47;2;13
manelmm3;7;196.1, 1.0, 344.0;29;29/11/2019 20:33:18;2;10
manelmm3;8;400.9, 1.0, 386.1;33;29/11/2019 20:34:37;2;2
manelmm3;9;196.1, 1.0, 344.0;39;29/11/2019 20:37:11;2;10
manelmm3;10;364.1, 1.0, 194.0;41;29/11/2019 20:37:53;2;5
manelmm3;11;438.9, 1.0, 359.2;47;29/11/2019 20:40:49;2;3
