lap_id;session_id;username;time
1;1;manelmm3;30/11/2019 19:26:58
2;1;manelmm3;30/11/2019 19:27:30
3;2;manelmm3;30/11/2019 19:50:15
4;2;manelmm3;30/11/2019 19:50:36
5;2;manelmm3;30/11/2019 19:51:01
6;2;manelmm3;30/11/2019 19:51:26
7;2;manelmm3;30/11/2019 19:51:52
8;2;manelmm3;30/11/2019 19:52:19
9;2;manelmm3;30/11/2019 19:52:39
10;3;manelmm3;30/11/2019 19:57:05
11;3;manelmm3;30/11/2019 19:57:27
12;3;manelmm3;30/11/2019 19:57:57
13;3;manelmm3;30/11/2019 19:58:19
14;3;manelmm3;30/11/2019 19:58:40
15;3;manelmm3;30/11/2019 19:59:02
16;3;manelmm3;30/11/2019 19:59:27
17;3;manelmm3;30/11/2019 19:59:51
18;3;manelmm3;30/11/2019 20:00:14
19;3;manelmm3;30/11/2019 20:00:42
20;3;manelmm3;30/11/2019 20:01:07
21;3;manelmm3;30/11/2019 20:01:34
22;3;manelmm3;30/11/2019 20:01:59
23;3;manelmm3;30/11/2019 20:02:22
24;3;manelmm3;30/11/2019 20:02:53
25;3;manelmm3;30/11/2019 20:03:16
26;3;manelmm3;30/11/2019 20:03:39
27;3;manelmm3;30/11/2019 20:04:01
28;3;manelmm3;30/11/2019 20:04:23
29;3;manelmm3;30/11/2019 20:04:44
30;3;manelmm3;30/11/2019 20:05:05
31;3;manelmm3;30/11/2019 20:05:26
32;3;manelmm3;30/11/2019 20:05:48
33;3;manelmm3;30/11/2019 20:06:16
34;3;manelmm3;30/11/2019 20:06:44
35;3;manelmm3;30/11/2019 20:07:06
36;3;manelmm3;30/11/2019 20:07:30
37;3;manelmm3;30/11/2019 20:07:57
38;3;manelmm3;30/11/2019 20:08:18
39;3;manelmm3;30/11/2019 20:08:40
40;3;manelmm3;30/11/2019 20:09:08
41;3;manelmm3;30/11/2019 20:09:37
42;3;manelmm3;30/11/2019 20:09:59
43;3;manelmm3;30/11/2019 20:10:20
44;3;manelmm3;30/11/2019 20:10:43
45;3;manelmm3;30/11/2019 20:11:09
46;3;manelmm3;30/11/2019 20:11:40
47;3;manelmm3;30/11/2019 20:12:07
48;3;manelmm3;30/11/2019 20:12:34
49;3;manelmm3;30/11/2019 20:12:56
50;3;manelmm3;30/11/2019 20:13:21
51;3;manelmm3;30/11/2019 20:13:52
52;3;manelmm3;30/11/2019 20:14:19
53;3;manelmm3;30/11/2019 20:14:40
54;3;manelmm3;30/11/2019 20:15:07
55;3;manelmm3;30/11/2019 20:15:35
56;3;manelmm3;30/11/2019 20:16:02
57;3;manelmm3;30/11/2019 20:16:28
58;3;manelmm3;30/11/2019 20:16:49
59;3;manelmm3;30/11/2019 20:17:13
